Term Locale,Term Category,Term,Alias,Case Sensitive
en-us,Legal - Real Estate,Lease,,FALSE
en-us,Legal - Real Estate,Lease Buyout,,FALSE
en-us,Legal - Real Estate,Lease Option,,FALSE
en-us,Legal - Real Estate,Leasehold Estate,,FALSE
en-us,Legal - Real Estate,Legal Blemish,,FALSE
en-us,Legal - Real Estate,Legal Description,,FALSE
en-us,Legal - Real Estate,Lender,,FALSE
en-us,Legal - Real Estate,Letter of Intent,,FALSE
en-us,Legal - Real Estate,Level of Control On a Listing Agreement,,FALSE
en-us,Legal - Real Estate,Leverage,,FALSE
en-us,Legal - Real Estate,Liabilities,,FALSE
en-us,Legal - Real Estate,Liability Insurance,,FALSE
en-us,Legal - Real Estate,Lien,,FALSE
en-us,Legal - Real Estate,Life Cap,,FALSE
en-us,Legal - Real Estate,Life-Cycle Cost Analysis,,FALSE
en-us,Legal - Real Estate,Limited Partnership,,FALSE
en-us,Legal - Real Estate,Liquid Assets,,FALSE
en-us,Legal - Real Estate,Liquidated Damages,,FALSE
en-us,Legal - Real Estate,Listing,,FALSE
en-us,Legal - Real Estate,Listing Inventories,,FALSE
en-us,Legal - Real Estate,Live-In Partnership,,FALSE
en-us,Legal - Real Estate,Live-Work Space,,FALSE
en-us,Legal - Real Estate,Loan Application,,FALSE
en-us,Legal - Real Estate,Loan Application Fee,,FALSE
en-us,Legal - Real Estate,Loan Commitment,,FALSE
en-us,Legal - Real Estate,Loan Constant,,FALSE
en-us,Legal - Real Estate,Loan Estimate,LE,FALSE
en-us,Legal - Real Estate,Loan Officer,,FALSE
en-us,Legal - Real Estate,Loan Origination Fee,,FALSE
en-us,Legal - Real Estate,Loan Processing Fee,,FALSE
en-us,Legal - Real Estate,Loan Term,,FALSE
en-us,Legal - Real Estate,Loan-To-Value-Ratio,LTV,FALSE
en-us,Legal - Real Estate,Lock-In,,FALSE
en-us,Legal - Real Estate,Loft,,FALSE
en-us,Legal - Real Estate,Log Cabin,,FALSE
en-us,Legal - Real Estate,Low-Ball Offer,,FALSE
en-us,Legal - Real Estate,Low Density,,FALSE
en-us,Legal - Real Estate,Low-Documentation Loan,,FALSE
en-us,Legal - Real Estate,Low-Down-Payment Loan,,FALSE
en-us,Legal - Real Estate,Maintenance & Emergency Repairs,,FALSE
en-us,Legal - Real Estate,Maintenance Fee,,FALSE
