Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
,,,Court of first instance,Georgia,Superior Court,Macon Circuit,
,,,Court of first instance,Georgia,Superior Court,Middle Circuit,
,,,Court of first instance,Georgia,Superior Court,Mountain Circuit,
,,,Court of first instance,Georgia,Superior Court,Northeastern Circuit,
,,,Court of first instance,Georgia,Superior Court,Northern Circuit,
,,,Court of first instance,Georgia,Superior Court,Ocmulgee Circuit,
,,,Court of first instance,Georgia,Superior Court,Oconee Circuit,
,,,Court of first instance,Georgia,Superior Court,Ogeechee Circuit,
,,,Court of first instance,Georgia,Superior Court,Pataula Circuit,
,,,Court of first instance,Georgia,Superior Court,Paulding Circuit,
,,,Court of first instance,Georgia,Superior Court,Piedmont Circuit,
,,,Court of first instance,Georgia,Superior Court,Rockdale Circuit,
,,,Court of first instance,Georgia,Superior Court,Rome Circuit,
,,,Court of first instance,Georgia,Superior Court,South Georgia Circuit,
,,,Court of first instance,Georgia,Superior Court,Southern Circuit,
,,,Court of first instance,Georgia,Superior Court,Southwestern Circuit,
,,,Court of first instance,Georgia,Superior Court,Stone Mountain Circuit,
,,,Court of first instance,Georgia,Superior Court,Tallapoosa Circuit,
,,,Court of first instance,Georgia,Superior Court,Tifton Circuit,
,,,Court of first instance,Georgia,Superior Court,Toombs Circuit,
,,,Court of first instance,Georgia,Superior Court,Towaliga Circuit,
,,,Court of first instance,Georgia,Superior Court,Waycross Circuit,
,,,Court of first instance,Georgia,Superior Court,Western Circuit,
en-US,US State Courts,220,Court of last resort,Georgia,Supreme Court,Supreme Court of Georgia,Supreme Court of Georgia
en-US,US State Courts,221,Court of first instance,Guam,Superior Court,Guam Superior Court,Superior Court of Guam
en-US,US State Courts,222,Court of last resort,Guam,Supreme Court,Supreme Court of Guam,
en-US,US State Courts,223,Court of first instance,Hawaii,Circuit Court,First Circuit,O`ahu First Circuit; Oahu First Circuit
,,,Court of first instance,Hawaii,Circuit Court,Second Circuit,Maui Second Circuit
,,,Court of first instance,Hawaii,Circuit Court,Third Circuit,Hawai`i Third Circuit; Hawaii Third Circuit
,,,Court of first instance,Hawaii,Circuit Court,Fifth Circuit,Kaua`i Fifth Circuit; Kauai Fifth Circuit
en-US,US State Courts,224,Intermediate appellate court,Hawaii,Appellate Court,Hawaii State Intermediate Court of Appeals (ICA),Hawaii Intermediate Court of Appeals
en-US,US State Courts,225,Court of last resort,Hawaii,Supreme Court,Supreme Court of Hawaii,Hawaii Supreme Court
en-US,US State Courts,226,Intermediate appellate court,Idaho,Appellate Court,Idaho Court of Appeals,
en-US,US State Courts,224,Court of first instance,Idaho,District Court,First Judicial District,
en-US,US State Courts,1,Court of first instance,Idaho,District Court,Second Judicial District,
en-US,US State Courts,1,Court of first instance,Idaho,District Court,Third Judicial District,
en-US,US State Courts,1,Court of first instance,Idaho,District Court,Fourth Judicial District,
en-US,US State Courts,225,Court of first instance,Idaho,District Court,Fifth Judicial District,
en-US,US State Courts,226,Court of first instance,Idaho,District Court,Sixth Judicial District,
en-US,US State Courts,227,Court of first instance,Idaho,District Court,Seventh Judicial District,
en-US,US State Courts,228,Court of last resort,Idaho,Supreme Court,Idaho Supreme Court,Idaho Supreme Court
en-US,US State Courts,229,Intermediate appellate court,Illinois,Appellate Court,First District,
en-US,US State Courts,230,Intermediate appellate court,Illinois,Appellate Court,Second Distric,
en-US,US State Courts,231,Intermediate appellate court,Illinois,Appellate Court,Third District,
en-US,US State Courts,232,Intermediate appellate court,Illinois,Appellate Court,Fourth District,
en-US,US State Courts,233,Intermediate appellate court,Illinois,Appellate Court,Fifth District,
