Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,Federal Assignment Of Claims,1940,,,FALSE
en-US,Geopolitcal - Acts,Federal Aviation,1958,,,FALSE
en-US,Geopolitcal - Acts,Federal Aviation Administration Authorization,1994,,,FALSE
en-US,Geopolitcal - Acts,Federal Bank Holding Company,1956,Bank Holding Company,1956,FALSE
en-US,Geopolitcal - Acts,Federal Bankruptcy Reform,1978,Bankruptcy Reform,1978,FALSE
en-US,Geopolitcal - Acts,Federal Civil Rights,1964,Civil Rights,1964,FALSE
en-US,Geopolitcal - Acts,Federal Communications,1934,Communications,1934,FALSE
en-US,Geopolitcal - Acts,Federal Comprehensive Environmental Response Compensation And Liability,1980,"Comprehensive Environmental Response, Compensation, And Liability",1980,FALSE
en-US,Geopolitcal - Acts,"Federal Comprehensive Environmental Response, Compensation And Liability",1980,"Comprehensive Environmental Response, Compensation, And Liability",1980,FALSE
en-US,Geopolitcal - Acts,"Federal Comprehensive Environmental Response, Compensation, And Liability",1980,"Comprehensive Environmental Response, Compensation, And Liability",1980,FALSE
en-US,Geopolitcal - Acts,Federal Consumer Credit Protection,1968,Consumer Credit Protection,1968,FALSE
en-US,Geopolitcal - Acts,Federal Deposit Insurance Corporation,1991,Federal Deposit Insurance Corporation Improvement,1991,FALSE
en-US,Geopolitcal - Acts,Federal Deposit Insurance Corporation Improvement,1991,,,FALSE
en-US,Geopolitcal - Acts,Federal Deposit Insurance Corporation Improvements,1991,Federal Deposit Insurance Corporation Improvement,1991,FALSE
en-US,Geopolitcal - Acts,Federal Deposit Insurance Reform,2005,,,FALSE
en-US,Geopolitcal - Acts,Federal Emergency Planning And Community Right To Know,1986,Emergency Planning And Community Right To Know,1986,FALSE
en-US,Geopolitcal - Acts,Federal Employee Retirement Income Security,1974,Employee Retirement Income Security,1974,FALSE
en-US,Geopolitcal - Acts,Federal Employers Liability,1908,,,FALSE
en-US,Geopolitcal - Acts,Federal Energy Policy,1992,Energy Policy,1992,FALSE
en-US,Geopolitcal - Acts,Federal Energy Policy,2005,,,FALSE
en-US,Geopolitcal - Acts,Federal Facilities Compliance,1992,,,FALSE
en-US,Geopolitcal - Acts,Federal Fair Labor Standards,1938,Fair Labor Standards,1938,FALSE
en-US,Geopolitcal - Acts,Federal False Claims,1863,False Claims,1863,FALSE
en-US,Geopolitcal - Acts,"Federal Food, Drug, And Cosmetic",1938,,,FALSE
en-US,Geopolitcal - Acts,Federal Gambling Devices,1962,,,FALSE
en-US,Geopolitcal - Acts,Federal Hazardous Substances,1960,,,FALSE
en-US,Geopolitcal - Acts,Federal Health Insurance Portability And Accountability,1996,Health Insurance Portability And Accountability,1996,FALSE
en-US,Geopolitcal - Acts,Federal Health Maintenance Organization,1973,Health Maintenance Organization,1973,FALSE
en-US,Geopolitcal - Acts,"Federal Insecticide, Fungicide And Rodenticide",1910,,,FALSE
en-US,Geopolitcal - Acts,Federal Mine Safety and Health,1977,,,FALSE
en-US,Geopolitcal - Acts,Federal Oil Pollution,1990,Oil Pollution,1990,FALSE
en-US,Geopolitcal - Acts,Federal Private Securities Litigation Reform,1995,Private Securities Litigation Reform,1995,FALSE
en-US,Geopolitcal - Acts,Federal Reserve,1913,,,FALSE
en-US,Geopolitcal - Acts,Federal Resource Conservation And Recovery,1976,Resource Conservation And Recovery,1976,FALSE
en-US,Geopolitcal - Acts,Federal Securities,1933,Securities,1933,FALSE
en-US,Geopolitcal - Acts,Federal Telecommunications,1996,Telecommunications,1996,FALSE
en-US,Geopolitcal - Acts,Federal Telemarketing And Consumer Fraud And Abuse Prevention,1994,,,FALSE
en-US,Geopolitcal - Acts,Federal Telephone Consumer Protection,1991,,,FALSE
en-US,Geopolitcal - Acts,Federal Tort Claims,1946,,,FALSE
en-US,Geopolitcal - Acts,Federal Water Pollution Control,1972,,,FALSE
en-US,Geopolitcal - Acts,"Financial Institution Reform, Recovery And Enforcement",1989,"Financial Institutions Reform, Recovery, And Enforcement",1989,FALSE
