Term Locale,Term Category,Term,CaseSensitive
en-us,Chemical,potassium aluminum sulfate,FALSE
en-gb,Chemical,potassium aluminium sulfate,FALSE
en-us,Chemical,potassium bitartrate,FALSE
en-us,Chemical,cream of tartar,FALSE
en-us,Chemical,potassium carbonate,FALSE
en-us,Chemical,potash,FALSE
en-us,Chemical,potassium bromide,FALSE
en-us,Chemical,potassium chloride,FALSE
en-us,Chemical,salt substitute,FALSE
en-us,Chemical,potassium chromium sulfate,FALSE
en-us,Chemical,potassium chrome alum,FALSE
en-us,Chemical,potassium dichromate,FALSE
en-us,Chemical,potassium iron hexacyanoferrate,FALSE
en-us,Chemical,potassium hydroxide,FALSE
en-us,Chemical,caustic potash,FALSE
en-us,Chemical,potassium iodide,FALSE
en-us,Chemical,radiation pills,FALSE
en-us,Chemical,potassium metabisulfite,FALSE
en-us,Chemical,campden tablets,FALSE
en-us,Chemical,potassium nitrate,FALSE
en-us,Chemical,saltpeter,FALSE
en-gb,Chemical,saltpetre,FALSE
en-us,Chemical,potassium permanganate,FALSE
en-us,Chemical,clearwater,FALSE
en-us,Chemical,potassium sodium tartrate,FALSE
en-us,Chemical,rochelle salt,FALSE
en-us,Chemical,propane,FALSE
en-us,Chemical,proponal,FALSE
en-us,Chemical,rubbing alcohol,FALSE
en-us,Chemical,silicon carbide,FALSE
en-us,Chemical,carborundum,FALSE
en-us,Chemical,silicon dioxide,FALSE
en-us,Chemical,sand,FALSE
en-us,Chemical,silica,FALSE
en-us,Chemical,sodium acetate,FALSE
en-us,Chemical,hand warmer,FALSE
en-us,Chemical,sodium borate,FALSE
en-us,Chemical,sodium bicarbonate,FALSE
en-us,Chemical,disodium phosphate,FALSE
en-us,Chemical,baking soda,FALSE
en-us,Chemical,bicarbonate of soda,FALSE
en-us,Chemical,sodium bisulfate,FALSE
en-us,Chemical,sodium bromide,FALSE
en-us,Chemical,hot tub salt,FALSE
en-us,Chemical,sodium carbonate,FALSE
en-us,Chemical,washing soda,FALSE
en-us,Chemical,soda ash,FALSE
en-us,Chemical,sodium chlorate,FALSE
en-us,Chemical,sodium chloride,FALSE
en-us,Chemical,sodium fluoride,FALSE
en-us,Chemical,sodium hexametaphosphate,FALSE
en-us,Chemical,sodium hydroxide,FALSE
en-us,Chemical,lye,FALSE
en-us,Chemical,caustic soda,FALSE
en-us,Chemical,sodium hypochlorite,FALSE
en-us,Chemical,bleach,FALSE
en-us,Chemical,sodium nitrate,FALSE
en-us,Chemical,chile saltpeter,FALSE
en-us,Chemical,chile saltpetre,FALSE
en-us,Chemical,sodium metabisulfite,FALSE
en-us,Chemical,sodium carbonate peroxyhydrate,FALSE
en-us,Chemical,sodium phosphate,FALSE
en-us,Chemical,trisodium phosphate,FALSE
en-us,Chemical,sodium silicate,FALSE
en-us,Chemical,water glass,FALSE
en-us,Chemical,egg preserver,FALSE
en-us,Chemical,magic rocks,FALSE
en-us,Chemical,sodium sulfite,FALSE
en-us,Chemical,sodium sulfate,FALSE
en-us,Chemical,sodium tetraborate decahydrate,FALSE
en-us,Chemical,borax,FALSE
en-us,Chemical,sodium thiosulfate,FALSE
en-us,Chemical,hypo,FALSE
en-us,Chemical,stearic acid,FALSE
en-us,Chemical,candle hardener,FALSE
en-us,Chemical,steel,FALSE
en-us,Chemical,galvanised wire,FALSE
en-us,Chemical,stainless steel,FALSE
en-us,Chemical,galvanised steel,FALSE
en-us,Chemical,mild steel,FALSE
en-us,Chemical,carbon steel,FALSE
en-us,Chemical,sucrose,FALSE
en-us,Chemical,sugar,FALSE
en-us,Chemical,sulfur,FALSE
en-us,Chemical,sulphur,FALSE
en-us,Chemical,sulfuric acid,FALSE
en-us,Chemical,vitriol,FALSE
en-us,Chemical,oil of vitriol,FALSE
en-us,Chemical,tannic acid,FALSE
en-us,Chemical,tannin,FALSE
en-us,Chemical,tartaric acid,FALSE
en-us,Chemical,wine preservative,FALSE
en-us,Chemical,tetrachloroethylene,FALSE
en-us,Chemical,tetrachloroethene,FALSE
en-us,Chemical,thymolphthalein,FALSE
en-us,Chemical,disappearing ink,FALSE
en-us,Chemical,tetrachloroethene,FALSE
en-us,Chemical,titanium dioxide,FALSE
