Term Locale,Term Category,Term,CaseSensitive
en-CA,Geopolitical,FINTRAC,TRUE
en-CA,Geopolitical,FJA,TRUE
en-CA,Geopolitical,FPCC,TRUE
en-CA,Geopolitical,GAC,TRUE
en-CA,Geopolitical,GLPA,TRUE
en-CA,Geopolitical,HC,TRUE
en-CA,Geopolitical,HRTC,TRUE
en-CA,Geopolitical,HSMBC,TRUE
en-CA,Geopolitical,IDRC,TRUE
en-CA,Geopolitical,INAC,TRUE
en-CA,Geopolitical,INFC,TRUE
en-CA,Geopolitical,IRB,TRUE
en-CA,Geopolitical,IRCC,TRUE
en-CA,Geopolitical,IRPDA,TRUE
en-CA,Geopolitical,ISED,TRUE
en-CA,Geopolitical,ITO,TRUE
en-CA,Geopolitical,JCCBI,TRUE
en-CA,Geopolitical,JUS,TRUE
en-CA,Geopolitical,LAC,TRUE
en-CA,Geopolitical,LPA,TRUE
en-CA,Geopolitical,MarineAtlantic,FALSE
en-CA,Geopolitical,MC,TRUE
en-CA,Geopolitical,MGERC,TRUE
en-CA,Geopolitical,Mint,FALSE
en-CA,Geopolitical,MPCC,TRUE
en-CA,Geopolitical,NAC,TRUE
en-CA,Geopolitical,NBC,TRUE
en-CA,Geopolitical,NCC,TRUE
en-CA,Geopolitical,NEB,TRUE
en-CA,Geopolitical,NFB,TRUE
en-CA,Geopolitical,NGC,TRUE
en-CA,Geopolitical,NPA,TRUE
en-CA,Geopolitical,NRC,TRUE
en-CA,Geopolitical,NRCan,FALSE
en-CA,Geopolitical,NSERC,TRUE
en-CA,Geopolitical,OAG,TRUE
en-CA,Geopolitical,OCI,TRUE
en-CA,Geopolitical,OCL,TRUE
en-CA,Geopolitical,OCMJ,TRUE
en-CA,Geopolitical,OCOL,TRUE
en-CA,Geopolitical,OCSEC,TRUE
en-CA,Geopolitical,OFOVC,TRUE
en-CA,Geopolitical,OHSTC,TRUE
en-CA,Geopolitical,OIC,TRUE
en-CA,Geopolitical,OPC,TRUE
en-CA,Geopolitical,OPO,TRUE
en-CA,Geopolitical,OSB,TRUE
en-CA,Geopolitical,OSFI,TRUE
en-CA,Geopolitical,OSGG,TRUE
en-CA,Geopolitical,OTO,TRUE
en-CA,Geopolitical,P3C,TRUE
en-CA,Geopolitical,PBC,TRUE
en-CA,Geopolitical,PC,TRUE
en-CA,Geopolitical,PCH,TRUE
en-CA,Geopolitical,PCO,TRUE
en-CA,Geopolitical,PHAC,TRUE
en-CA,Geopolitical,PMPRB,TRUE
en-CA,Geopolitical,POLAR,TRUE
en-CA,Geopolitical,PPA,TRUE
en-CA,Geopolitical,PPSC,TRUE
en-CA,Geopolitical,PS,TRUE
en-CA,Geopolitical,PSC,TRUE
en-CA,Geopolitical,PSDPTC,TRUE
en-CA,Geopolitical,PSIC,TRUE
en-CA,Geopolitical,PSLREB,TRUE
en-CA,Geopolitical,PSP Investments,FALSE
en-CA,Geopolitical,PSPC,TRUE
en-CA,Geopolitical,RCAF,TRUE
en-CA,Geopolitical,RCMP,TRUE
en-CA,Geopolitical,RCN,TRUE
en-CA,Geopolitical,RMCC,TRUE
en-CA,Geopolitical,SCC,TRUE
en-CA,Geopolitical,Radio-Canada,FALSE
en-CA,Geopolitical,Radio Canada,FALSE
en-CA,Geopolitical,CBC/Radio-Canada,FALSE
en-CA,Geopolitical,CBC/Radio Canada,FALSE
en-CA,Geopolitical,SCC-CCN,TRUE
en-CA,Geopolitical,SCT,TRUE
en-CA,Geopolitical,ServCan,FALSE
en-CA,Geopolitical,SIRC,TRUE
en-CA,Geopolitical,SSC,TRUE
en-CA,Geopolitical,SSHRC,TRUE
en-CA,Geopolitical,SST,TRUE
en-CA,Geopolitical,StatCan,FALSE
en-CA,Geopolitical,SWC,TRUE
en-CA,Geopolitical,TATC,TRUE
en-CA,Geopolitical,TBS,TRUE
en-CA,Geopolitical,TC,TRUE
en-CA,Geopolitical,TCC,TRUE
en-CA,Geopolitical,TCS,TRUE
en-CA,Geopolitical,TSB,TRUE
en-CA,Geopolitical,VAC,TRUE
en-CA,Geopolitical,VIA Rail,FALSE
en-CA,Geopolitical,VMC,TRUE
en-CA,Geopolitical,VRAB,TRUE
en-CA,Geopolitical,WD,TRUE
