Term Locale,Term Type,Term,CaseSensitive
en-US,Florida Agencies,Florida Department of Management Services,FALSE
en-US,Florida Agencies,Florida Department of Military Affairs,FALSE
en-US,Florida Agencies,Florida Department of Transportation,FALSE
en-US,Florida Agencies,Florida Department of Veterans Affairs,FALSE
en-US,Florida Agencies,Florida Division of Alcoholic Beverages and Tobacco,FALSE
en-US,Florida Agencies,Florida Division of Emergency Management,FALSE
en-US,Florida Agencies,Florida Fish and Wildlife Conservation Commission,FALSE
en-US,Florida Agencies,Florida Lottery,FALSE
en-US,Florida Agencies,The Florida Network of Youth and Family Services,FALSE
en-US,Florida Agencies,Florida Photographic Collection,FALSE
en-US,Florida Agencies,Florida Public Service Commission,FALSE
en-US,Florida Agencies,State Board of Administration of Florida,FALSE
en-US,Florida Agencies,Northwest Florida Water Management District,FALSE
en-US,Florida Agencies,Orange County Health Department,FALSE
en-US,Florida Agencies,Port Canaveral,FALSE
en-US,Florida Agencies,Regional Planning Councils,FALSE
en-US,Florida Agencies,South Florida Water Management District,FALSE
en-US,Florida Agencies,Southwest Florida Water Management District,FALSE
en-US,Florida Agencies,Space Florida,FALSE
en-US,Florida Agencies,St. Johns River Water Management District,FALSE
en-US,Florida Agencies,Suwannee River Water Management District,FALSE
en-US,Florida Agencies,Technological Research and Development Authority,FALSE
en-US,Florida Agencies,Water management districts in Florida,FALSE
en-US,Georgia Agencies,Georgia Department of Agriculture,FALSE
en-US,Georgia Agencies,Georgia Alcohol and Tobacco Division,FALSE
en-US,Georgia Agencies,Georgia Department of Economic Development,FALSE
en-US,Georgia Agencies,Georgia Department of Education,FALSE
en-US,Georgia Agencies,Georgia Emergency Management Agency,FALSE
en-US,Georgia Agencies,Georgia Environmental Finance Authority,FALSE
en-US,Georgia Agencies,Georgia Historical Commission,FALSE
en-US,Georgia Agencies,Georgia Department of Juvenile Justice,FALSE
en-US,Georgia Agencies,Georgia Department of Labor,FALSE
en-US,Georgia Agencies,Georgia Land Conservation Program,FALSE
en-US,Georgia Agencies,Georgia Department of Natural Resources,FALSE
en-US,Georgia Agencies,Northwest Georgia Joint Development Authority,FALSE
en-US,Georgia Agencies,Georgia Public Service Commission,FALSE
en-US,Georgia Agencies,Georgia Department of Revenue,FALSE
en-US,Georgia Agencies,Georgia Department of Transportation,FALSE
en-US,Georgia Agencies,Georgia Regional Transportation Authority,FALSE
en-US,Hawaii Agencies,Hawai'i Department of Education,FALSE
en-US,Hawaii Agencies,Hawai'i Department of Land and Natural Resources,FALSE
