Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,118,Federal,Colorado,Bankruptcy Court,District of Colorado,Bankr. D. Colo.
en-US,Geopolitical - Courts,119,Federal,Connecticut,Bankruptcy Court,District of Connecticut,Bankr. D. Conn.
en-US,Geopolitical - Courts,120,Federal,Delaware,Bankruptcy Court,District of Delaware,Bankr. D. Del.
en-US,Geopolitical - Courts,121,Federal,Washington D.C.,Bankruptcy Court,District of D.C.,Bankr. D.D.C.
en-US,Geopolitical - Courts,122,Federal,Florida,Bankruptcy Court,Middle District of Florida,Bankr. M.D. Fla.
en-US,Geopolitical - Courts,123,Federal,Florida,Bankruptcy Court,Northern District of Florida,Bankr. N.D. Fla.
en-US,Geopolitical - Courts,124,Federal,Florida,Bankruptcy Court,Southern District of Florida,Bankr. S.D. Fla.
en-US,Geopolitical - Courts,125,Federal,Georgia,Bankruptcy Court,Middle District of Georgia,Bankr. M.D. Ga.
en-US,Geopolitical - Courts,126,Federal,Georgia,Bankruptcy Court,Northern District of Georgia,Bankr. N.D. Ga.
en-US,Geopolitical - Courts,127,Federal,Georgia,Bankruptcy Court,Southern District of Georgia,Bankr. S.D. Ga.
en-US,Geopolitical - Courts,128,Federal,Guam,Bankruptcy Court,District of Guam,Bankr. D. Guam
en-US,Geopolitical - Courts,129,Federal,Hawaii,Bankruptcy Court,District of Hawaii,Bankr. D. Haw.
en-US,Geopolitical - Courts,130,Federal,Idaho,Bankruptcy Court,District of Idaho,Bankr. D. Idaho
en-US,Geopolitical - Courts,131,Federal,Illinois,Bankruptcy Court,Central District of Illinois,Bankr. C.D. Ill.
en-US,Geopolitical - Courts,132,Federal,Illinois,Bankruptcy Court,Northern District of Illinois,Bankr. N.D. Ill.
en-US,Geopolitical - Courts,133,Federal,Indiana,Bankruptcy Court,Northern District of Indiana,Bankr. N.D. Ind.
en-US,Geopolitical - Courts,134,Federal,Indiana,Bankruptcy Court,Southern District of Indiana,Bankr. S.D. Ind.
en-US,Geopolitical - Courts,135,Federal,Iowa,Bankruptcy Court,Northern District of Iowa,Bankr. N.D. Iowa
en-US,Geopolitical - Courts,136,Federal,Iowa,Bankruptcy Court,Southern District of Iowa,Bankr. S.D. Iowa
en-US,Geopolitical - Courts,137,Federal,Kansas,Bankruptcy Court,District of Kansas,Bankr. D. Kan.
en-US,Geopolitical - Courts,138,Federal,Kentucky,Bankruptcy Court,Eastern District of Kentucky,Bankr. E.D. Ky.
en-US,Geopolitical - Courts,139,Federal,Kentucky,Bankruptcy Court,Western District of Kentucky,Bankr. W.D. Ky.
en-US,Geopolitical - Courts,140,Federal,Louisiana,Bankruptcy Court,Eastern District of Louisiana,Bankr. E.D. La.
en-US,Geopolitical - Courts,141,Federal,Louisiana,Bankruptcy Court,Middle District of Louisiana,Bankr. M.D. La.
en-US,Geopolitical - Courts,142,Federal,Louisiana,Bankruptcy Court,Western District of Louisiana,Bankr. W.D. La.
en-US,Geopolitical - Courts,143,Federal,Maine,Bankruptcy Court,District of Maine,Bankr. D. Me.
en-US,Geopolitical - Courts,144,Federal,Maryland,Bankruptcy Court,District of Maryland,Bankr. D. Md.
en-US,Geopolitical - Courts,145,Federal,Massachusetts,Bankruptcy Court,District of Massachusetts,Bankr. D. Mass.
en-US,Geopolitical - Courts,146,Federal,Michigan,Bankruptcy Court,Eastern District of Michigan,Bankr. E.D. Mich.
en-US,Geopolitical - Courts,147,Federal,Michigan,Bankruptcy Court,Western District of Michigan,Bankr. W.D. Mich.
en-US,Geopolitical - Courts,148,Federal,Minnesota,Bankruptcy Court,District of Minnesota,Bankr. D. Minn.
en-US,Geopolitical - Courts,149,Federal,Mississippi,Bankruptcy Court,Northern District of Mississippi,Bankr. N.D. Miss.
en-US,Geopolitical - Courts,150,Federal,Mississippi,Bankruptcy Court,Southern District of Mississippi,Bankr. S.D. Miss.
en-US,Geopolitical - Courts,151,Federal,Missouri,Bankruptcy Court,Eastern District of Missouri,Bankr. E.D. Mo.
en-US,Geopolitical - Courts,152,Federal,Missouri,Bankruptcy Court,Western District of Missouri,Bankr. W.D. Mo.
en-US,Geopolitical - Courts,153,Federal,Montana,Bankruptcy Court,District of Montana,Bankr. D. Mont.
en-US,Geopolitical - Courts,154,Federal,Nebraska,Bankruptcy Court,District of Nebraska,Bankr. D. Neb.
en-US,Geopolitical - Courts,155,Federal,Nevada,Bankruptcy Court,District of Nevada,Bankr. D. Nev.
en-US,Geopolitical - Courts,156,Federal,New Hampshire,Bankruptcy Court,District of New Hampshire,Bankr. D.N.H.
en-US,Geopolitical - Courts,157,Federal,New Jersey,Bankruptcy Court,District of New Jersey,Bankr. D.N.J.
en-US,Geopolitical - Courts,158,Federal,New Mexico,Bankruptcy Court,District of New Mexico,Bankr. D.N.M.
en-US,Geopolitical - Courts,159,Federal,New York,Bankruptcy Court,Eastern District of New York,Bankr. E.D.N.Y.
en-US,Geopolitical - Courts,160,Federal,New York,Bankruptcy Court,Northern District of New York,Bankr. N.D.N.Y.
en-US,Geopolitical - Courts,161,Federal,New York,Bankruptcy Court,Southern District of New York,Bankr. W.D.N.Y.
en-US,Geopolitical - Courts,162,Federal,North Carolina,Bankruptcy Court,Eastern District of North Carolina,Bankr. E.D.N.C.
en-US,Geopolitical - Courts,163,Federal,North Carolina,Bankruptcy Court,Middle District of North Carolina,Bankr. M.D.N.C.
en-US,Geopolitical - Courts,164,Federal,North Carolina,Bankruptcy Court,Western District of North Carolina,Bankr. W.D.N.C.
en-US,Geopolitical - Courts,165,Federal,North Dakota,Bankruptcy Court,District of North Dakota,Bankr. D.N.D.
en-US,Geopolitical - Courts,166,Federal,Ohio,Bankruptcy Court,Northern District of Ohio,Bankr. N.D. Ohio
en-US,Geopolitical - Courts,167,Federal,Ohio,Bankruptcy Court,Southern District of Ohio,Bankr. S.D. Ohio
en-US,Geopolitical - Courts,168,Federal,Oklahoma,Bankruptcy Court,Eastern District of Oklahoma,Bankr. E.D. Okla.
en-US,Geopolitical - Courts,169,Federal,Oklahoma,Bankruptcy Court,Northern District of Oklahoma,Bankr. N.D. Okla.
en-US,Geopolitical - Courts,170,Federal,Oklahoma,Bankruptcy Court,Western District of Oklahoma,Bankr. W.D. Okla.
en-US,Geopolitical - Courts,171,Federal,Oregon,Bankruptcy Court,District of Oregon,Bankr. D. Or.
en-US,Geopolitical - Courts,172,Federal,Pennsylvania,Bankruptcy Court,Eastern District of Pennsylvania,Bankr. E.D. Pa.
