Court ID,Level,Court Type (en-US),Court Type (de-DE),Court Name,,,,,,,,,,,,,,,,,,,,,,,
125,Regional,Tax Court,Finanzgericht,Finanzgericht Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,
126,Regional,Tax Court,Finanzgericht,Finanzgericht München,,,,,,,,,,,,,,,,,,,,,,,
127,Regional,Tax Court,Finanzgericht,Finanzgericht Nürnberg,,,,,,,,,,,,,,,,,,,,,,,
128,Regional,Tax Court,Finanzgericht,Finanzgericht Berlin-Brandenburg,,,,,,,,,,,,,,,,,,,,,,,
129,Regional,Tax Court,Finanzgericht,Finanzgericht Bremen,,,,,,,,,,,,,,,,,,,,,,,
130,Regional,Tax Court,Finanzgericht,Finanzgericht Hamburg,,,,,,,,,,,,,,,,,,,,,,,
131,Regional,Tax Court,Finanzgericht,Hessisches Finanzgericht,,,,,,,,,,,,,,,,,,,,,,,
132,Regional,Tax Court,Finanzgericht,Finanzgericht Mecklenburg-Vorpommern,,,,,,,,,,,,,,,,,,,,,,,
133,Regional,Tax Court,Finanzgericht,Niedersächsisches Finanzgericht,,,,,,,,,,,,,,,,,,,,,,,
134,Regional,Tax Court,Finanzgericht,Finanzgericht Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,
135,Regional,Tax Court,Finanzgericht,Finanzgericht Köln,,,,,,,,,,,,,,,,,,,,,,,
136,Regional,Tax Court,Finanzgericht,Finanzgericht Münster,,,,,,,,,,,,,,,,,,,,,,,
137,Regional,Tax Court,Finanzgericht,Finanzgericht Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,
138,Regional,Tax Court,Finanzgericht,Finanzgericht des Saarlandes,,,,,,,,,,,,,,,,,,,,,,,
139,Regional,Tax Court,Finanzgericht,Sächsisches Finanzgericht,,,,,,,,,,,,,,,,,,,,,,,
140,Regional,Tax Court,Finanzgericht,Finanzgericht des Landes Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,
141,Regional,Tax Court,Finanzgericht,Schleswig-Holsteinisches Finanzgericht,,,,,,,,,,,,,,,,,,,,,,,
142,Regional,Tax Court,Finanzgericht,Thüringer Finanzgericht,,,,,,,,,,,,,,,,,,,,,,,
143,Supreme Court,Supreme Social Court ,Bundessozialgericht,Bundessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
144,Regional,Social Court,Landessozialgericht,Landessozialgericht Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,
145,Regional,Social Court,Landessozialgericht,Bayerisches Landessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
146,Regional,Social Court,Landessozialgericht,Landessozialgericht Berlin-Brandenburg,,,,,,,,,,,,,,,,,,,,,,,
147,Regional,Social Court,Landessozialgericht,Landessozialgericht Niedersachsen-Bremen,,,,,,,,,,,,,,,,,,,,,,,
148,Regional,Social Court,Landessozialgericht,Landessozialgericht Hamburg,,,,,,,,,,,,,,,,,,,,,,,
149,Regional,Social Court,Landessozialgericht,Hessisches Landessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
150,Regional,Social Court,Landessozialgericht,Landessozialgericht Mecklenburg-Vorpommern,,,,,,,,,,,,,,,,,,,,,,,
151,Regional,Social Court,Landessozialgericht,Landessozialgericht Nordrhein-Westfalen,,,,,,,,,,,,,,,,,,,,,,,
152,Regional,Social Court,Landessozialgericht,Landessozialgericht Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,
153,Regional,Social Court,Landessozialgericht,Landessozialgericht für das Saarland,,,,,,,,,,,,,,,,,,,,,,,
154,Regional,Social Court,Landessozialgericht,Sächsisches Landessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
