Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Alias (de-DE)
Geopolitical - Courts,158,Supreme Court,Federal,Supreme Federal Adminstrative Court,Bundesverwaltungsgericht,Bundesverwaltungsgericht,
Geopolitical - Courts,159,Regional,Baden-Württemberg,Administrative Court,Verwaltungsgerichtshof,Verwaltungsgerichtshof Baden-Württemberg,
Geopolitical - Courts,160,Regional,Bayern,Administrative Court,Verwaltungsgerichtshof,Bayerischer Verwaltungsgerichtshof,VGH Bayern; BayVGH
Geopolitical - Courts,161,Regional,Berlin-Brandenburg,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Berlin-Brandenburg,OVG Berlin-Brandenburg
Geopolitical - Courts,162,Regional,Bremen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht der Freien Hansestadt Bremen,OVG der Freien Hansestadt Bremen
Geopolitical - Courts,163,Regional,Hamburg,Administrative Court,Verwaltungsgerichtshof,Hamburgisches Oberverwaltungsgericht,Hamburgisches OVG
Geopolitical - Courts,164,Regional,Hessen,Administrative Court,Verwaltungsgerichtshof,Hessischer Verwaltungsgerichtshof,Hessischer VGH; Hess. VGH
Geopolitical - Courts,165,Regional,Mecklenburg-Vorpommern,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Mecklenburg-Vorpommern,OVG Mecklenburg-Vorpommern
Geopolitical - Courts,166,Regional,Niedersachsen,Administrative Court,Verwaltungsgerichtshof,Niedersächsisches Oberverwaltungsgericht,Niedersächsisches OVG
Geopolitical - Courts,167,Regional,Nordrhein-Westfalen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht für das Land Nordrhein-Westfalen,OVG für das Land Nordrhein-Westfalen; OVG NRW
Geopolitical - Courts,168,Regional,Rheinland-Pfalz,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Rheinland-Pfalz,OVG Rheinland-Pfalz
Geopolitical - Courts,169,Regional,Saarland,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Saarlandes,OVG des Saarlandes
Geopolitical - Courts,170,Regional,Sächsisches ,Administrative Court,Verwaltungsgerichtshof,Sächsisches Oberverwaltungsgericht,Sächsisches OVG
Geopolitical - Courts,171,Regional,Sachsen-Anhalt,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Landes Sachsen-Anhalt,OVG des Landes Sachsen-Anhalt
Geopolitical - Courts,172,Regional,Schleswig-Holstein,Administrative Court,Verwaltungsgerichtshof,Schleswig-Holsteinisches Oberverwaltungsgericht,Schleswig-Holsteinisches OVG
Geopolitical - Courts,173,Regional,Thüringen,Administrative Court,Verwaltungsgerichtshof,Thüringer Oberverwaltungsgericht,Thüringer OVG
