Term Locale,Term Type,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Federal National Mortgage Association,Fannie Mae,FALSE
en-US,Geopolitical - Agencies,Federal Protective Service,,FALSE
en-US,Geopolitical - Agencies,Federal Railroad Administration,FRA,FALSE
en-US,Geopolitical - Agencies,Federal Register,,FALSE
en-US,Geopolitical - Agencies,Federal Reserve System,,FALSE
en-US,Geopolitical - Agencies,Federal Retirement Thrift Investment Board,,FALSE
en-US,Geopolitical - Agencies,Federal Student Aid Information Center,,FALSE
en-US,Geopolitical - Agencies,Federal Trade Commission,FTC,FALSE
en-US,Geopolitical - Agencies,Federal Transit Administration,FTA,FALSE
en-US,Geopolitical - Agencies,Federal Voting Assistance Program,,FALSE
en-US,Geopolitical - Agencies,Bureau of the  Fiscal Service,,FALSE
en-US,Geopolitical - Agencies,Fish and Wildlife Service,FWS,FALSE
en-US,Geopolitical - Agencies,Fleet Forces Command,,FALSE
en-US,Geopolitical - Agencies,Food Safety and Inspection Service,,FALSE
en-US,Geopolitical - Agencies,National Institute of Food and Agriculture,,FALSE
en-US,Geopolitical - Agencies,Food and Drug Administration,FDA,FALSE
en-US,Geopolitical - Agencies,Food and Nutrition Service,,FALSE
en-US,Geopolitical - Agencies,Foreign Agricultural Service,,FALSE
en-US,Geopolitical - Agencies,Foreign Claims Settlement Commission,,FALSE
en-US,Geopolitical - Agencies,Forest Service,,FALSE
en-US,Geopolitical - Agencies,Fossil Energy,,FALSE
en-US,Geopolitical - Agencies,Freddie Mac,,FALSE
en-US,Geopolitical - Agencies,Fulbright Foreign Scholarship Board,,FALSE
en-US,Geopolitical - Agencies,General Services Administration,GSA,FALSE
en-US,Geopolitical - Agencies,Geological Survey,USGS,FALSE
en-US,Geopolitical - Agencies,Ginnie Mae,,FALSE
en-US,Geopolitical - Agencies,Government Accountability Office,GAO,FALSE
en-US,Geopolitical - Agencies,Office of Government Ethics,OGE,FALSE
en-US,Geopolitical - Agencies,Government National Mortgage Association,Ginnie Mae,FALSE
en-US,Geopolitical - Agencies,Government Publishing Office,GPO,FALSE
en-US,Geopolitical - Agencies,"Grain Inspection, Packers and Stockyards Administration",,FALSE
en-US,Geopolitical - Agencies,Harry S. Truman Scholarship Foundation,,FALSE
en-US,Geopolitical - Agencies,Health Resources and Services Administration,,FALSE
en-US,Geopolitical - Agencies,Health and Human Services Department,HHS,FALSE
en-US,Geopolitical - Agencies,Helsinki Commission,,FALSE
en-US,Geopolitical - Agencies,Holocaust Memorial Museum,,FALSE
en-US,Geopolitical - Agencies,Homeland Security Department,DHS,FALSE
en-US,Geopolitical - Agencies,House Office of Inspector General,,FALSE
en-US,Geopolitical - Agencies,House Office of the Clerk,,FALSE
en-US,Geopolitical - Agencies,House of Representatives,,FALSE
en-US,Geopolitical - Agencies,Housing Office,,FALSE
en-US,Geopolitical - Agencies,Immigration and Citizenship Services,USCIS,FALSE
en-US,Geopolitical - Agencies,Immigration and Customs Enforcement,ICE,FALSE
en-US,Geopolitical - Agencies,Indian Affairs,,FALSE
en-US,Geopolitical - Agencies,Indian Arts and Crafts Board,,FALSE
en-US,Geopolitical - Agencies,Indian Health Service,,FALSE
en-US,Geopolitical - Agencies,Industrial College of the Armed Forces,,FALSE
en-US,Geopolitical - Agencies,Bureau of Industry and Security,BIS,FALSE
en-US,Geopolitical - Agencies,Information Resource Management College,,FALSE
en-US,Geopolitical - Agencies,Information Resources Center,ERIC,FALSE
en-US,Geopolitical - Agencies,Innovation and Improvement Office,,FALSE
en-US,Geopolitical - Agencies,Inspectors General,,FALSE
en-US,Geopolitical - Agencies,Institute of Education Sciences,,FALSE
en-US,Geopolitical - Agencies,Institute of Museum and Library Services,,FALSE
en-US,Geopolitical - Agencies,Institute of Peace,,FALSE
en-US,Geopolitical - Agencies,Inter-American Foundation,,FALSE
en-US,Geopolitical - Agencies,Interagency Alternative Dispute Resolution Working Group,,FALSE
en-US,Geopolitical - Agencies,Interagency Committee for the Management of Noxious and Exotic Weeds,,FALSE
en-US,Geopolitical - Agencies,Interagency Council on Homelessness,,FALSE
en-US,Geopolitical - Agencies,Interior Department,DOI,FALSE
en-US,Geopolitical - Agencies,Internal Revenue Service,IRS,FALSE
en-US,Geopolitical - Agencies,Bureau of International Labor Affairs,,FALSE
en-US,Geopolitical - Agencies,International Trade Administration,ITA,FALSE
en-US,Geopolitical - Agencies,International Trade Commission,,FALSE
en-US,Geopolitical - Agencies,Interpol,,FALSE
en-US,Geopolitical - Agencies,James Madison Memorial Fellowship Foundation,,FALSE
en-US,Geopolitical - Agencies,Japan-United States Friendship Commission,,FALSE
en-US,Geopolitical - Agencies,Job Corps,,FALSE
en-US,Geopolitical - Agencies,John F. Kennedy Center for the Performing Arts,,FALSE
en-US,Geopolitical - Agencies,Joint Board for the Enrollment of Actuaries,,FALSE
en-US,Geopolitical - Agencies,Joint Chiefs of Staff,,FALSE
en-US,Geopolitical - Agencies,Joint Congressional Committee on Inaugural Ceremonies,,FALSE
en-US,Geopolitical - Agencies,Joint Fire Science Program,,FALSE
en-US,Geopolitical - Agencies,Joint Forces Command,,FALSE
en-US,Geopolitical - Agencies,Joint Forces Staff College,,FALSE
en-US,Geopolitical - Agencies,Joint Military Intelligence College,,FALSE
en-US,Geopolitical - Agencies,Joint Program Executive Office for Chemical and Biological Defense,,FALSE
en-US,Geopolitical - Agencies,Judicial Circuit Courts of Appeal,,FALSE
en-US,Geopolitical - Agencies,Judicial Panel on Multidistrict Litigation,,FALSE
en-US,Geopolitical - Agencies,Justice Department,DOJ,FALSE
en-US,Geopolitical - Agencies,Office of Justice Programs,,FALSE
en-US,Geopolitical - Agencies,Bureau of Justice Statistics,,FALSE
en-US,Geopolitical - Agencies,Office of Juvenile Justice and Delinquency Prevention,,FALSE
en-US,Geopolitical - Agencies,Kennedy Center,,FALSE
en-US,Geopolitical - Agencies,Labor Department,DOL,FALSE
en-US,Geopolitical - Agencies,Bureau of Labor Statistics,,FALSE
en-US,Geopolitical - Agencies,Bureau of Land Management,BLM,FALSE
en-US,Geopolitical - Agencies,Legal Services Corporation,,FALSE
en-US,Geopolitical - Agencies,Library of Congress,LOC,FALSE
en-US,Geopolitical - Agencies,Office of Manufactured Housing Programs,,FALSE
en-US,Geopolitical - Agencies,Marine Corps,,FALSE
en-US,Geopolitical - Agencies,Marine Mammal Commission,,FALSE
en-US,Geopolitical - Agencies,Maritime Administration,MARAD,FALSE
en-US,Geopolitical - Agencies,Marketing and Regulatory Programs,,FALSE
en-US,Geopolitical - Agencies,Marshals Service,,FALSE
en-US,Geopolitical - Agencies,Mediation and Conciliation Service,,FALSE
en-US,Geopolitical - Agencies,Medicaid,CMS,FALSE
en-US,Geopolitical - Agencies,Medicaid and CHIP Payment and Access Commission,,FALSE
en-US,Geopolitical - Agencies,Medicare,CMS,FALSE
en-US,Geopolitical - Agencies,Medicare Payment Advisory Commission,,FALSE
en-US,Geopolitical - Agencies,Merit Systems Protection Board,,FALSE
en-US,Geopolitical - Agencies,Middle East Broadcasting Network,,FALSE
en-US,Geopolitical - Agencies,Migratory Bird Conservation Commission,,FALSE
en-US,Geopolitical - Agencies,Military Postal Service Agency,,FALSE
en-US,Geopolitical - Agencies,Millennium Challenge Corporation,,FALSE
en-US,Geopolitical - Agencies,Mine Safety and Health Administration,MSHA,FALSE
en-US,Geopolitical - Agencies,Minority Business Development Agency,,FALSE
en-US,Geopolitical - Agencies,Office of Minority Health,,FALSE
en-US,Geopolitical - Agencies,Mint,,FALSE
en-US,Geopolitical - Agencies,Missile Defense Agency,MDA,FALSE
en-US,Geopolitical - Agencies,Mississippi River Commission,,FALSE
en-US,Geopolitical - Agencies,Morris K. Udall and Stewart L. Udall Foundation,,FALSE
en-US,Geopolitical - Agencies,Multifamily Housing Office,,FALSE
en-US,Geopolitical - Agencies,NOAA Fisheries,,FALSE
en-US,Geopolitical - Agencies,National AIDS Policy Office,,FALSE
en-US,Geopolitical - Agencies,National Aeronautics and Space Administration,NASA,FALSE
en-US,Geopolitical - Agencies,National Agricultural Statistics Service,,FALSE
en-US,Geopolitical - Agencies,National Archives and Records Administration,NARA,FALSE
en-US,Geopolitical - Agencies,National Cancer Institute,NCI,FALSE
en-US,Geopolitical - Agencies,National Capital Planning Commission,,FALSE
en-US,Geopolitical - Agencies,National Cemetery Administration,,FALSE
en-US,Geopolitical - Agencies,National Constitution Center,,FALSE
en-US,Geopolitical - Agencies,National Council on Disability,,FALSE
en-US,Geopolitical - Agencies,National Credit Union Administration,NCUA,FALSE
en-US,Geopolitical - Agencies,National Defense University,,FALSE
en-US,Geopolitical - Agencies,National Defense University iCollege,,FALSE
en-US,Geopolitical - Agencies,National Economic Council,,FALSE
en-US,Geopolitical - Agencies,National Endowment for the Arts,NEA,FALSE
en-US,Geopolitical - Agencies,National Endowment for the Humanities,,FALSE
en-US,Geopolitical - Agencies,National Flood Insurance Program,NFIP,FALSE
en-US,Geopolitical - Agencies,National Gallery of Art,,FALSE
en-US,Geopolitical - Agencies,National Geospatial-Intelligence Agency,,FALSE
en-US,Geopolitical - Agencies,National Guard,,FALSE
en-US,Geopolitical - Agencies,National Health Information Center,NHIC,FALSE
en-US,Geopolitical - Agencies,"National Heart, Lung, and Blood Institute",NHLBI,FALSE
en-US,Geopolitical - Agencies,National Highway Traffic Safety Administration,NHTSA,FALSE
en-US,Geopolitical - Agencies,National Indian Gaming Commission,,FALSE
en-US,Geopolitical - Agencies,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",,FALSE
en-US,Geopolitical - Agencies,National Institute of Corrections,,FALSE
en-US,Geopolitical - Agencies,National Institute of Food and Agriculture,,FALSE
en-US,Geopolitical - Agencies,National Institute of Justice,,FALSE
en-US,Geopolitical - Agencies,National Institute of Mental Health,NIMH,FALSE
en-US,Geopolitical - Agencies,National Institute of Occupational Safety and Health,NIOSH,FALSE
en-US,Geopolitical - Agencies,National Institute of Standards and Technology,NIST,FALSE
en-US,Geopolitical - Agencies,National Institutes of Health,NIH,FALSE
en-US,Geopolitical - Agencies,National Intelligence University,,FALSE
en-US,Geopolitical - Agencies,National Interagency Fire Center,,FALSE
en-US,Geopolitical - Agencies,National Labor Relations Board,NLRB,FALSE
en-US,Geopolitical - Agencies,National Laboratories,,FALSE
en-US,Geopolitical - Agencies,National Marine Fisheries Service,,FALSE
en-US,Geopolitical - Agencies,National Mediation Board,,FALSE
en-US,Geopolitical - Agencies,National Nuclear Security Administration,,FALSE
en-US,Geopolitical - Agencies,National Ocean Service,,FALSE
en-US,Geopolitical - Agencies,National Oceanic and Atmospheric Administration,NOAA,FALSE
en-US,Geopolitical - Agencies,National Park Foundation,,FALSE
en-US,Geopolitical - Agencies,National Park Service,NPS,FALSE
en-US,Geopolitical - Agencies,National Passport Information Center,NPIC,FALSE
en-US,Geopolitical - Agencies,National Pesticide Information Center,,FALSE
en-US,Geopolitical - Agencies,National Railroad Passenger Corporation,AMTRAK,FALSE
en-US,Geopolitical - Agencies,National Reconnaissance Office,,FALSE
en-US,Geopolitical - Agencies,National Science Foundation,NSF,FALSE
en-US,Geopolitical - Agencies,National Security Agency,NSA,FALSE
en-US,Geopolitical - Agencies,National Security Council,,FALSE
en-US,Geopolitical - Agencies,National Technical Information Service,,FALSE
en-US,Geopolitical - Agencies,National Telecommunications and Information Administration,,FALSE
en-US,Geopolitical - Agencies,National Transportation Safety Board,NTSB,FALSE
en-US,Geopolitical - Agencies,National War College,,FALSE
en-US,Geopolitical - Agencies,National Weather Service,,FALSE
en-US,Geopolitical - Agencies,Natural Resources Conservation Service,,FALSE
en-US,Geopolitical - Agencies,Office of Natural Resources Revenue,,FALSE
en-US,Geopolitical - Agencies,Navy,,FALSE
en-US,Geopolitical - Agencies,Northern Command,,FALSE
en-US,Geopolitical - Agencies,Northwest Power Planning Council,,FALSE
en-US,Geopolitical - Agencies,Northwest Power and Conservation Council,,FALSE
en-US,Geopolitical - Agencies,Office of Nuclear Energy,,FALSE
en-US,Geopolitical - Agencies,Nuclear Regulatory Commission,NRC,FALSE
en-US,Geopolitical - Agencies,Nuclear Waste Technical Review Board,,FALSE
en-US,Geopolitical - Agencies,Oak Ridge National Laboratory,,FALSE
en-US,Geopolitical - Agencies,Occupational Safety and Health Administration,OSHA,FALSE
en-US,Geopolitical - Agencies,Occupational Safety and Health Review Commission,,FALSE
en-US,Geopolitical - Agencies,Bureau of Ocean Energy Management,,FALSE
