Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,California Agencies,California Department of Consumer Affairs,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Contractors State License Board,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Fish and Wildlife,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Toxic Substances Control,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Developmental Services,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Education,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Emergency Medical Services Authority,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Employment Development Department,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Energy Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Environmental Protection Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Hazardous Waste and Substances Sites List,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Fair Employment and Housing,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Finance,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Food and Agriculture,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Forestry and Fire Protection,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Franchise Tax Board,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of General Services,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Geological Survey,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Government Operations Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Health and Human Services Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California High-Speed Rail Authority,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Housing and Community Development,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Human Resources,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Institute for Regenerative Medicine,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Insurance,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Justice,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Division of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Labor and Workforce Development Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Law Revision Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Little Hoover Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Major Risk Medical Insurance Program,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Managed Risk Medical Insurance Board,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Medical Board of California,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Military Department,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Motor Vehicles,,FALSE
