Term Category,Chemical (en-US),Chemical (en-GB),Chemical (de-DE),Chemical (es-ES),Chemical (fr-FR),Alias,Case Sensitive
Scientific - Chemicals,mild steel,mild steel,Baustahl; Schmiedestahl; Flussstahl,Acero al carbono; acero dulce; ,Acier au carbone; acier doux,,FALSE
Scientific - Chemicals,milk acid,milk acid,Milchsäure,Ácido láctico,Acide lactique,,FALSE
Scientific - Chemicals,mineral oil,mineral oil,Mineralöl,Aceite mineral,Huile minérale,,FALSE
Scientific - Chemicals,monosodium glutamate,monosodium glutamate,Mononatriumglutamat,Glutamato monosódico,Glutamate monosodique,,FALSE
Scientific - Chemicals,moss killer,moss killer,Moos- Vernichtungsmittel,anti-musgo,désherbant ,,FALSE
Scientific - Chemicals,moth flakes,moth flakes,Naphthalin,Naftalina,Naphtalène,,FALSE
Scientific - Chemicals,mountains in minutes,mountains in minutes,60 Minutes,60 Minutes,60 Minutes,,FALSE
Scientific - Chemicals,MSG,MSG,Mononatriumglutamat,glutamato monosódico,glutamate monosodique; glutamate de monosodium,monosodium glutamate,TRUE
Scientific - Chemicals,naphthalene,naphthalene,Naphthalin,Naftalina,Naphtalène,Moth balls,FALSE
Scientific - Chemicals,natural gas,natural gas,Erdgas,Gas natural,Gaz naturel,,FALSE
Scientific - Chemicals,nigari,nigari,Magnesiumchlorid,Cloruro de magnesio,Chlorure de magnésium,,FALSE
Scientific - Chemicals,nitrate of ammonia,nitrate of ammonia,Ammoniumnitrat,Nitrato de amonio,Nitrate d'ammonium,,FALSE
Scientific - Chemicals,nitrous oxide,nitrous oxide,Distickstoffmonoxid,Óxido de nitrógeno (I),Protoxyde d'azote,,FALSE
Scientific - Chemicals,oganesson,oganesson,Oganesson,Oganesón; ununoctio,Oganesson,,FALSE
Scientific - Chemicals,oil of clove,oil of clove,Eugenol; Öl der Nelke,aceite de clavo,essence de girofle,,FALSE
Scientific - Chemicals,oil of vitriol,oil of vitriol,Schwefelsäure,Ácido sulfúrico,Acide sulfurique,Sulfuric acid; sulphuric acid,FALSE
Scientific - Chemicals,oxalic acid,oxalic acid,Oxalsäure,Ácido oxálico,Acide oxalique,,FALSE
Scientific - Chemicals,para-dichlorobenzene,para-dichlorobenzene,"1,4-Dichlorbenzol",paradiclorobenceno ,"1,4-Dichlorobenzène; para-dichlorobenzène",PDB,FALSE
Scientific - Chemicals,paraffin,paraffin,Paraffin,parafina; queroseno,paraffine,,FALSE
Scientific - Chemicals,pepto-bismal,pepto-bismal,Bismutsubsalicylat,Salicilato de bismuto,Sous-salicylate de bismuth,,FALSE
Scientific - Chemicals,peroxide,peroxide,Peroxid,Peróxido,Peroxyde,,FALSE
Scientific - Chemicals,phenol red,phenol red,Phenolrot,Rojo de fenol,Rouge de phénol,,FALSE
Scientific - Chemicals,phenolphthalein,phenolphthalein,Phenolphthalein,Fenolftaleína,Phénolphtaléine,,FALSE
Scientific - Chemicals,phenolsulfonephthalein,phenolsulfonephthalein,Phenolrot,Rojo de fenol,Rouge de phénol,,FALSE
Scientific - Chemicals,phosphoric acid,phosphoric acid,Phosphorsäure,Ácido fosfórico,Acide phosphorique,,FALSE
Scientific - Chemicals,plaster of paris,plaster of paris,Putz (Bauteil),Yeso,Plâtre,,FALSE
Scientific - Chemicals,polystyrene,polystyrene,Polystyrol,Poliestireno,Polystyrène,,FALSE
Scientific - Chemicals,polyurethane foam,polyurethane foam,Polyurethanschaum,espuma de poliuretano,mousse de polyuréthane; mousse polyuréthane,,FALSE
Scientific - Chemicals,pompholyx,pompholyx,Dyshidrosis,Eccema dishidrótico,Dyshidrose,,FALSE
Scientific - Chemicals,potassium aluminum sulfate,potassium aluminium sulfate; potassium aluminium sulphate,Aluminiumkaliumsulfat-Dodecahydrat,Alumbre de potasio; Calinita,Alun,potassium aluminum sulphate; aluminum potassium sulfate,FALSE
Scientific - Chemicals,potassium bitartrate,potassium bitartrate,Weinstein,Bitartrato de potasio,Bitartrate de potassium,,FALSE
Scientific - Chemicals,potassium bromide,potassium bromide,Kaliumbromid,Bromuro de potasio,Bromure de potassium,,FALSE
Scientific - Chemicals,potassium carbonate,potassium carbonate,Kaliumcarbonat,Carbonato de potasio,Carbonate de potassium,potash,FALSE
Scientific - Chemicals,potassium chloride,potassium chloride,Kaliumchlorid,Cloruro de potasio,Chlorure de potassium,,FALSE
Scientific - Chemicals,chrome alum,chrome alum,Chrom(III)-kaliumsulfat-Dodecahydrat,alum de cromo,alun de chrome,Chromium(III) potassium sulfate; potassium chromium sulfate,FALSE
Scientific - Chemicals,potassium dichromate,potassium dichromate,Kaliumdichromat,Dicromato de potasio,Dichromate de potassium,,FALSE
Scientific - Chemicals,potassium hydroxide,potassium hydroxide,Kaliumhydroxid,Hidróxido de potasio,Hydroxyde de potassium,,FALSE
Scientific - Chemicals,potassium iodide,potassium iodide,Kaliumiodid,Yoduro de potasio,Iodure de potassium,,FALSE
Scientific - Chemicals,potassium iron hexacyanoferrate,potassium iron hexacyanoferrate,Kaliumhexacyanidoferrat(III),Ferricianuro de potasio,Ferricyanure de potassium,,FALSE
Scientific - Chemicals,potassium metabisulfite,potassium metabisulfite,Kaliumdisulfit,Metabisulfito de potasio,Métabisulfite de potassium,campden tablet,FALSE
Scientific - Chemicals,potassium permanganate,potassium permanganate,Kaliumpermanganat,Permanganato de potasio,Permanganate de potassium,,FALSE
Scientific - Chemicals,potassium sodium tartrate,potassium sodium tartrate,Seignettesalz,Sal de Seignette,Sel de Seignette,,FALSE
Scientific - Chemicals,propane,propane,Propan,Propano,Propane,,FALSE
Scientific - Chemicals,Propranolol,Propranolol,Propranolol,Propranolol,propranolol,,FALSE
Scientific - Chemicals,pyrolusite,pyrolusite,Pyrolusit,Pirolusita,Pyrolusite,,FALSE
Scientific - Chemicals,quicklime,quicklime,Calciumoxid,Óxido de calcio,Oxyde de calcium,,FALSE
Scientific - Chemicals,radiation pills,radiation pills,Kaliumiodid,Yoduro de potasio,Iodure de potassium,,FALSE
Scientific - Chemicals,road salt,road salt,Streusalz;  Straßensalz;  Viehsalz,sal para carreteras,sel de voirie; sel de déneigement,,FALSE
Scientific - Chemicals,rochelle salt,rochelle salt,Seignettesalz,Sal de Seignette,Sel de Seignette,,FALSE
Scientific - Chemicals,rubbing alcohol,rubbing alcohol,Franzbranntwein; Reinigungsalkohol,alcohol isopropilo,alcool dénaturé,2-propanol; propyl alcohol; isopropyl alcohol,FALSE
Scientific - Chemicals,rust,rust,Rost,Herrumbre; óxido; moho,rouille,,FALSE
Scientific - Chemicals,salt of hartshorn,salt of hartshorn,Ammoniumcarbonat,Carbonato de amonio,Carbonate d'ammonium,Ammonium carbonate ,FALSE
Scientific - Chemicals,salt substitute,salt substitute,Kochsalzersatz,sustituto de sal,substitut du sel; succédané du sel,,FALSE
Scientific - Chemicals,saltpeter,saltpetre,Salpeter,salitre,salpêtre,Potassium nitrate,FALSE
Scientific - Chemicals,sand,sand,Sand,Arena,Sable,Silicon dioxide,FALSE
Scientific - Chemicals,sandblasting sand,sandblasting sand,Sandstrahlgebläse,Arenado,Sablage,,FALSE
Scientific - Chemicals,silica,silica,Siliciumdioxid,Óxido de silicio (IV),Dioxyde de silicium,Silicon dioxide,FALSE
Scientific - Chemicals,silicon carbide,silicon carbide,Siliciumcarbid,Carburo de silicio,Carbure de silicium,carborundum,FALSE
Scientific - Chemicals,slaked lime,slaked lime,Calciumhydroxid,Hidróxido de calcio,Hydroxyde de calcium,,FALSE
Scientific - Chemicals,smelling salts,smelling salts,Riechsalz,sales aromáticas,flacon de sels,ammonium carbonate,FALSE
